Submission Date,Addresses,Enter the date of your purchase (just the 1st date of purchase is ok),Enter the total # Bird Dog token purchased,,$ @ 0.00071,$ @0.00125,$ @ 0.0036,MintAmount,
,,,,,,,,,
11-Jul-24,0x92CC2E265fFe9acf9Db43887dc51813FE479c974,12-Jul-24,700000,700k,497,,2520,5,
11-Jul-24,0x5fAdEda4b6eC4113a16Bff286721a46D948525af,2-Jun-24,"1,462,260",1.4mm,,,,5,
10-Jul-24,0xD5F56Dd8fe61AD0B72E3693bb4EA85b1F82a796A,6-Jun-24,503430.114,700k,,,,5,
8-Jul-24,0xd6536eb20665e0c7680655dC62e613009d32Ac4A,10-Apr-24,"466,899",467k,373,,1680,5,
8-Jul-24,0x968Ae71AD45DaaC79bAA736b830E0739bE3264f4,8-Apr-24,"434,617",434k,,,,5,
8-Jul-24,0xB2bf7D4f564532ddFCD0Fd22c7A36DD23dC1ec63,8-Apr-24,"915,080",915k,,,,5,
8-Jul-24,0x989226D31452a1fF2630BAD5f756d1e90797e579,18-Apr-24,"642,495",642k,,,,5,
8-Jul-24,0xd30394261e51CaD00fE4479F6341127EC304561E,8-Apr-24,"3,128,271",3.1mm,,,,5,
8-Jul-24,0x9E137DDc3857Ac2c4f65DfaEAc8f87773F964b59,21-Apr-24,"542,509",542k,,,,5,
8-Jul-24,0x6fc552825F6fd0dAf34415EEbC61F8F41f7e35eD,25-May-24,"763,124",763k,,,,5,
8-Jul-24,0x16c9bEA4dcF770722d4e0c8A9FeCed092EA5d095,1-Apr-24,"5,930,359",5.9mm,,,,5,
8-Jul-24,0x3D864EaeF5a1b43aCd09dD94FB574C38BF9b3954,1-Apr-24,14659772,1.4mm,,,,5,
8-Jul-24,0x97de65d1757Ce193F77e5AA0b9C2437A5ebABE45,3-Apr-24,7700000,7.7mm,,,,5,
8-Jul-24,0x067B93235044001CcC45eEda4117416BBf34E759,26-May-24,"166,390",166k,,,599,5,
6-Jul-24,0xE11702851531749d9EbC0A5F2B8E53CE2B653A92,6-Jul-24,64737,65k,,,234,0,already done
4-Jul-24,0xE11702851531749d9EbC0A5F2B8E53CE2B653A92,21-Jul-24,286377.9,286k,,,,0,already done
4-Jul-24,0xE11702851531749d9EbC0A5F2B8E53CE2B653A92,6-Jun-24,157438.48,157k,,,,5,5 total
4-Jul-24,0x19c8725713cE871Fd0bceB8b6067271332dB3c9e,20-Mar-24,2325213,719k,,,,5,
